,ID,Нэр,Оноо,Хөтөлбөр,grade_letter
0,S001,Одбаяр,96,Сэтгэл судлал,A
1,S002,Энхжаргал,77,Компьютерийн ухаан,C
2,S003,Халиун,66,Сэтгэл судлал,D
3,S004,Баттулга,58,Компьютерийн ухаан,F
4,S005,Энэбиш,84,"Санхүү, банк",B
5,S006,Болд,70,Мэдээллийн систем,C
6,S007,Билгүүн,58,Мэдээллийн систем,F
7,S008,Туяа,60,Компьютерийн ухаан,D
8,S009,Дорж,92,"Санхүү, банк",A
9,S010,Цэцэг,56,Сэтгэл судлал,F
10,S011,Энхжаргал,77,Эдийн засаг,C
11,S012,Тэмүүжин,50,Хиймэл оюун,F
12,S013,Оюун,89,Мэдээллийн систем,B
13,S014,Эрдэнэ,63,Компьютерийн ухаан,D
14,S015,Саран,74,Компьютерийн ухаан,C
15,S016,Гэрэл,92,Сэтгэл судлал,A
16,S017,Сарнай,87,Сэтгэл судлал,B
17,S018,Одбаяр,81,Сэтгэл судлал,B
18,S019,Гэрэл,87,Мэдээллийн систем,B
19,S020,Амгалан,53,Компьютерийн ухаан,F
20,S021,Наран,50,Хиймэл оюун,F
21,S022,Сарангэрэл,51,Сэтгэл судлал,F
22,S023,Туяа,100,Мэдээллийн систем,A
23,S024,Оюун,59,Мэдээллийн систем,F
24,S025,Нарантуяа,58,Сэтгэл судлал,F
25,S026,Халиун,51,Эдийн засаг,F
26,S027,Энхжаргал,95,Мэдээлэл технологи,A
27,S028,Гэрэл,63,Хиймэл оюун,D
28,S029,Цэцэг,84,Компьютерийн ухаан,B
29,S030,Баяр,75,Мэдээллийн систем,C
30,S031,Цэцэг,73,Программ хангамж,C
31,S032,Амар,52,"Санхүү, банк",F
32,S033,Цолмон,77,Сэтгэл судлал,C
33,S034,Халиун,69,Хиймэл оюун,D
34,S035,Ану,96,Эдийн засаг,A
35,S036,Одбаяр,66,Мэдээлэл технологи,D
36,S037,Амар,97,Компьютерийн ухаан,A
37,S038,Цолмон,66,Компьютерийн ухаан,D
38,S039,Алтангэрэл,67,Программ хангамж,D
39,S040,Батаа,61,Программ хангамж,D
40,S041,Баяр,99,Компьютерийн ухаан,A
41,S042,Дорж,66,Эдийн засаг,D
42,S043,Энэбиш,65,Компьютерийн ухаан,D
43,S044,Баасан,57,Хиймэл оюун,F
44,S045,Алтангэрэл,73,Программ хангамж,C
45,S046,Тамир,65,Компьютерийн ухаан,D
46,S047,Мөнх,96,Хиймэл оюун,A
47,S048,Ану,72,Мэдээллийн систем,C
48,S049,Цолмон,76,Мэдээллийн систем,C
49,S050,Халиун,92,Мэдээлэл технологи,A
50,S051,Сарангэрэл,91,Мэдээллийн систем,A
51,S052,Сарангэрэл,53,Сэтгэл судлал,F
52,S053,Тэмүүлэн,99,"Санхүү, банк",A
53,S054,Одбаяр,96,Мэдээлэл технологи,A
54,S055,Оюун,62,Программ хангамж,D
55,S056,Алтангэрэл,80,Мэдээлэл технологи,B
56,S057,Сүрэн,82,Мэдээллийн систем,B
57,S058,Мөнх,94,Сэтгэл судлал,A
58,S059,Мөнх,55,Компьютерийн ухаан,F
59,S060,Ану,87,Мэдээллийн систем,B
60,S061,Жаргал,57,Мэдээллийн систем,F
61,S062,Амгалан,95,Сэтгэл судлал,A
62,S063,Алтангэрэл,64,Хиймэл оюун,D
63,S064,Ганзориг,84,Мэдээллийн систем,B
64,S065,Оюун,83,Мэдээлэл технологи,B
65,S066,Сарнай,100,Эдийн засаг,A
66,S067,Батаа,80,"Санхүү, банк",B
67,S068,Сарангэрэл,50,Сэтгэл судлал,F
68,S069,Ану,59,"Санхүү, банк",F
69,S070,Одбаяр,96,Сэтгэл судлал,A
70,S071,Цэцэг,53,"Санхүү, банк",F
71,S072,Чулуун,94,Эдийн засаг,A
72,S073,Цэцэг,63,Хиймэл оюун,D
73,S074,Билгүүн,56,Программ хангамж,F
74,S075,Лхагва,94,Мэдээллийн систем,A
75,S076,Сарнай,59,"Санхүү, банк",F
76,S077,Наран,88,Компьютерийн ухаан,B
77,S078,Саран,65,"Санхүү, банк",D
78,S079,Саран,58,Программ хангамж,F
79,S080,Жаргал,91,Программ хангамж,A
80,S081,Халиун,88,Мэдээллийн систем,B
81,S082,Баяр,86,Программ хангамж,B
82,S083,Бат,69,Мэдээлэл технологи,D
83,S084,Туяа,82,"Санхүү, банк",B
84,S085,Дорж,70,Программ хангамж,C
85,S086,Амар,90,Хиймэл оюун,A
86,S087,Халиун,62,Компьютерийн ухаан,D
87,S088,Чулуун,57,Эдийн засаг,F
88,S089,Баасан,86,Компьютерийн ухаан,B
89,S090,Алтангэрэл,98,Сэтгэл судлал,A
90,S091,Ганзориг,78,Мэдээлэл технологи,C
91,S092,Ганзориг,88,"Санхүү, банк",B
92,S093,Амар,76,Мэдээллийн систем,C
93,S094,Лхагва,81,Сэтгэл судлал,B
94,S095,Ганзориг,96,Мэдээллийн систем,A
95,S096,Жаргал,93,Программ хангамж,A
96,S097,Бат,63,Компьютерийн ухаан,D
97,S098,Тэрбиш,62,Компьютерийн ухаан,D
98,S099,Туяа,98,Мэдээллийн систем,A
99,S100,Тэрбиш,86,Компьютерийн ухаан,B
100,S101,Сарнай,97,Эдийн засаг,A
101,S102,Билгүүн,72,Компьютерийн ухаан,C
102,S103,Баяр,95,Эдийн засаг,A
103,S104,Эрдэнэ,59,Сэтгэл судлал,F
104,S105,Цэцэг,78,Мэдээллийн систем,C
105,S106,Амар,99,Мэдээллийн систем,A
106,S107,Тэмүүлэн,53,Компьютерийн ухаан,F
107,S108,Болд,64,Мэдээллийн систем,D
108,S109,Бат,85,"Санхүү, банк",B
109,S110,Ганзориг,55,Мэдээллийн систем,F
110,S111,Халиун,95,Программ хангамж,A
111,S112,Энэбиш,99,Мэдээллийн систем,A
112,S113,Оюун,67,Хиймэл оюун,D
113,S114,Амгалан,75,Хиймэл оюун,C
114,S115,Эрдэнэ,84,Программ хангамж,B
115,S116,Одбаяр,78,Программ хангамж,C
116,S117,Болор,92,Хиймэл оюун,A
117,S118,Цэцэг,77,Программ хангамж,C
118,S119,Нарантуяа,56,Мэдээллийн систем,F
119,S120,Цолмон,61,Программ хангамж,D
120,S121,Саран,98,"Санхүү, банк",A
121,S122,Сүрэн,71,Эдийн засаг,C
122,S123,Одбаяр,86,Программ хангамж,B
123,S124,Тамир,51,Программ хангамж,F
124,S125,Бат,66,Мэдээлэл технологи,D
125,S126,Билгүүн,92,Программ хангамж,A
126,S127,Туяа,92,Компьютерийн ухаан,A
127,S128,Амгалан,77,Эдийн засаг,C
128,S129,Халиун,60,Сэтгэл судлал,D
129,S130,Батаа,76,Компьютерийн ухаан,C
130,S131,Нарантуяа,99,Мэдээллийн систем,A
131,S132,Алтангэрэл,77,Программ хангамж,C
132,S133,Сарнай,93,Мэдээллийн систем,A
133,S134,Мөнх,50,Программ хангамж,F
134,S135,Наран,68,Эдийн засаг,D
135,S136,Лхагва,87,Компьютерийн ухаан,B
136,S137,Тэрбиш,82,Компьютерийн ухаан,B
137,S138,Билгүүн,54,Эдийн засаг,F
138,S139,Билгүүн,80,Хиймэл оюун,B
139,S140,Цолмон,59,Мэдээлэл технологи,F
140,S141,Сарангэрэл,100,Эдийн засаг,A
141,S142,Цолмон,92,Сэтгэл судлал,A
142,S143,Жаргал,67,Мэдээлэл технологи,D
143,S144,Амгалан,75,Хиймэл оюун,C
144,S145,Зориг,60,Эдийн засаг,D
145,S146,Бат,66,Компьютерийн ухаан,D
146,S147,Тэрбиш,66,Программ хангамж,D
147,S148,Батаа,54,Мэдээлэл технологи,F
148,S149,Болд,67,Хиймэл оюун,D
149,S150,Тэрбиш,81,"Санхүү, банк",B
150,S151,Амгалан,59,Сэтгэл судлал,F
151,S152,Ану,55,"Санхүү, банк",F
152,S153,Лхагва,63,Программ хангамж,D
153,S154,Сүрэн,99,Компьютерийн ухаан,A
154,S155,Нарантуяа,97,"Санхүү, банк",A
155,S156,Халиун,86,Хиймэл оюун,B
156,S157,Туяа,50,"Санхүү, банк",F
157,S158,Чулуун,73,Мэдээллийн систем,C
158,S159,Гэрэл,74,Мэдээлэл технологи,C
159,S160,Дорж,64,"Санхүү, банк",D
160,S161,Батаа,84,Мэдээллийн систем,B
161,S162,Алтангэрэл,98,Хиймэл оюун,A
162,S163,Лхагва,92,Эдийн засаг,A
163,S164,Эрдэнэ,74,Компьютерийн ухаан,C
164,S165,Энэбиш,69,Мэдээллийн систем,D
165,S166,Алтангэрэл,69,Сэтгэл судлал,D
166,S167,Тамир,85,Мэдээллийн систем,B
167,S168,Туяа,54,Мэдээлэл технологи,F
168,S169,Ану,82,Программ хангамж,B
169,S170,Амгалан,99,Эдийн засаг,A
170,S171,Эрдэнэ,87,Программ хангамж,B
171,S172,Энхжаргал,86,Компьютерийн ухаан,B
172,S173,Болор,71,Программ хангамж,C
173,S174,Баасан,89,Компьютерийн ухаан,B
174,S175,Эрдэнэ,80,Сэтгэл судлал,B
175,S176,Тэмүүжин,55,Программ хангамж,F
176,S177,Тэмүүлэн,79,Мэдээллийн систем,C
177,S178,Наран,65,Сэтгэл судлал,D
178,S179,Цолмон,90,Мэдээлэл технологи,A
179,S180,Одбаяр,64,Сэтгэл судлал,D
180,S181,Энэбиш,61,Мэдээлэл технологи,D
181,S182,Болор,99,Сэтгэл судлал,A
182,S183,Цолмон,82,Программ хангамж,B
183,S184,Жаргал,70,Мэдээллийн систем,C
184,S185,Сүрэн,70,Мэдээлэл технологи,C
185,S186,Гэрэл,100,Компьютерийн ухаан,A
186,S187,Хулан,100,Компьютерийн ухаан,A
187,S188,Билгүүн,61,Компьютерийн ухаан,D
188,S189,Лхагва,84,Мэдээллийн систем,B
189,S190,Сүрэн,74,Эдийн засаг,C
190,S191,Энхжаргал,98,"Санхүү, банк",A
191,S192,Алтангэрэл,74,Программ хангамж,C
192,S193,Болор,87,Хиймэл оюун,B
193,S194,Халиун,70,Программ хангамж,C
194,S195,Цолмон,93,Хиймэл оюун,A
195,S196,Амар,78,Компьютерийн ухаан,C
196,S197,Наран,50,Хиймэл оюун,F
197,S198,Жаргал,91,Сэтгэл судлал,A
198,S199,Баасан,61,"Санхүү, банк",D
199,S200,Оюун,94,Сэтгэл судлал,A
200,S201,Тэрбиш,77,Программ хангамж,C
201,S202,Эрдэнэ,80,Хиймэл оюун,B
202,S203,Нарантуяа,100,Компьютерийн ухаан,A
203,S204,Чулуун,94,"Санхүү, банк",A
204,S205,Болд,51,"Санхүү, банк",F
205,S206,Сарнай,58,Сэтгэл судлал,F
206,S207,Ану,94,Эдийн засаг,A
207,S208,Туяа,59,Мэдээлэл технологи,F
208,S209,Жаргал,89,Мэдээллийн систем,B
209,S210,Тэрбиш,53,Сэтгэл судлал,F
210,S211,Ану,56,"Санхүү, банк",F
211,S212,Тэмүүжин,100,Хиймэл оюун,A
212,S213,Цэцэг,59,Сэтгэл судлал,F
213,S214,Ану,68,"Санхүү, банк",D
214,S215,Нарантуяа,56,Программ хангамж,F
215,S216,Нарантуяа,59,Программ хангамж,F
216,S217,Цэцэг,62,"Санхүү, банк",D
217,S218,Туяа,60,Эдийн засаг,D
218,S219,Нарантуяа,97,Эдийн засаг,A
219,S220,Баяр,75,Компьютерийн ухаан,C
220,S221,Цолмон,62,"Санхүү, банк",D
221,S222,Батаа,66,Сэтгэл судлал,D
222,S223,Амар,97,Программ хангамж,A
223,S224,Сүрэн,86,Сэтгэл судлал,B
224,S225,Тамир,75,Мэдээллийн систем,C
225,S226,Болд,60,Программ хангамж,D
226,S227,Ганзориг,73,Хиймэл оюун,C
227,S228,Мөнх,80,Программ хангамж,B
228,S229,Нарантуяа,56,Компьютерийн ухаан,F
229,S230,Туяа,50,Компьютерийн ухаан,F
230,S231,Наран,67,Эдийн засаг,D
231,S232,Нарантуяа,99,Эдийн засаг,A
232,S233,Саран,67,Мэдээлэл технологи,D
233,S234,Халиун,74,"Санхүү, банк",C
234,S235,Энхжаргал,97,Программ хангамж,A
235,S236,Жаргал,80,Эдийн засаг,B
236,S237,Лхагва,74,Мэдээллийн систем,C
237,S238,Цолмон,54,"Санхүү, банк",F
238,S239,Наран,68,Компьютерийн ухаан,D
239,S240,Батаа,88,Мэдээллийн систем,B
240,S241,Лхагва,60,Программ хангамж,D
241,S242,Цолмон,83,Мэдээллийн систем,B
242,S243,Баасан,62,"Санхүү, банк",D
243,S244,Тэмүүжин,87,Мэдээлэл технологи,B
244,S245,Алтангэрэл,64,Эдийн засаг,D
245,S246,Лхагва,69,Мэдээлэл технологи,D
246,S247,Энхжаргал,82,Эдийн засаг,B
247,S248,Лхагва,92,Программ хангамж,A
248,S249,Цэцэг,86,Мэдээлэл технологи,B
249,S250,Гэрэл,53,Мэдээллийн систем,F
250,S251,Оюун,77,Компьютерийн ухаан,C
251,S252,Сарангэрэл,86,Программ хангамж,B
252,S253,Эрдэнэ,78,Эдийн засаг,C
253,S254,Сарнай,53,Эдийн засаг,F
254,S255,Халиун,78,Компьютерийн ухаан,C
255,S256,Ганзориг,91,Сэтгэл судлал,A
256,S257,Зориг,90,"Санхүү, банк",A
257,S258,Мөнх,59,Мэдээлэл технологи,F
258,S259,Сарангэрэл,81,Хиймэл оюун,B
259,S260,Цолмон,68,"Санхүү, банк",D
260,S261,Сарнай,53,Эдийн засаг,F
261,S262,Энэбиш,75,Хиймэл оюун,C
262,S263,Ганзориг,68,"Санхүү, банк",D
263,S264,Мөнх,89,Эдийн засаг,B
264,S265,Сарнай,100,Мэдээлэл технологи,A
265,S266,Халиун,66,Хиймэл оюун,D
266,S267,Гэрэл,80,Компьютерийн ухаан,B
267,S268,Тамир,90,Программ хангамж,A
268,S269,Батаа,87,Программ хангамж,B
269,S270,Мөнх,74,Сэтгэл судлал,C
270,S271,Ганзориг,65,Компьютерийн ухаан,D
271,S272,Наран,69,Мэдээлэл технологи,D
272,S273,Амар,51,Мэдээлэл технологи,F
273,S274,Туяа,73,"Санхүү, банк",C
274,S275,Халиун,75,"Санхүү, банк",C
275,S276,Мөнх,72,Хиймэл оюун,C
276,S277,Баттулга,69,Хиймэл оюун,D
277,S278,Чулуун,68,"Санхүү, банк",D
278,S279,Тэмүүжин,91,Эдийн засаг,A
279,S280,Тэмүүжин,58,Эдийн засаг,F
280,S281,Амар,57,Сэтгэл судлал,F
281,S282,Тамир,96,Хиймэл оюун,A
282,S283,Сарнай,68,Мэдээллийн систем,D
283,S284,Тэрбиш,71,Сэтгэл судлал,C
284,S285,Цэцэг,78,Эдийн засаг,C
285,S286,Билгүүн,59,Хиймэл оюун,F
286,S287,Чулуун,62,Программ хангамж,D
287,S288,Жаргал,69,Мэдээллийн систем,D
288,S289,Баяр,80,"Санхүү, банк",B
289,S290,Баттулга,58,Эдийн засаг,F
290,S291,Бат,74,Мэдээллийн систем,C
291,S292,Тэмүүлэн,53,Эдийн засаг,F
292,S293,Тэмүүжин,86,Эдийн засаг,B
293,S294,Цэцэг,95,Мэдээллийн систем,A
294,S295,Бат,55,Хиймэл оюун,F
295,S296,Лхагва,60,Сэтгэл судлал,D
296,S297,Эрдэнэ,96,Эдийн засаг,A
297,S298,Тамир,66,Компьютерийн ухаан,D
298,S299,Сарнай,60,Эдийн засаг,D
299,S300,Мөнх,58,"Санхүү, банк",F
300,S301,Зориг,57,Мэдээлэл технологи,F
301,S302,Ганзориг,66,Компьютерийн ухаан,D
302,S303,Туяа,88,Хиймэл оюун,B
303,S304,Тамир,90,Мэдээллийн систем,A
304,S305,Болор,80,Компьютерийн ухаан,B
305,S306,Туяа,62,Эдийн засаг,D
306,S307,Энэбиш,61,Хиймэл оюун,D
307,S308,Тамир,66,Эдийн засаг,D
308,S309,Сарангэрэл,52,Хиймэл оюун,F
309,S310,Туяа,76,Компьютерийн ухаан,C
310,S311,Гэрэл,51,Мэдээллийн систем,F
311,S312,Чулуун,52,Мэдээллийн систем,F
312,S313,Алтангэрэл,85,"Санхүү, банк",B
313,S314,Одбаяр,51,Программ хангамж,F
314,S315,Баттулга,86,Программ хангамж,B
315,S316,Тэрбиш,66,Компьютерийн ухаан,D
316,S317,Энэбиш,63,Эдийн засаг,D
317,S318,Батаа,74,Мэдээлэл технологи,C
318,S319,Цэцэг,66,Компьютерийн ухаан,D
319,S320,Амар,72,Хиймэл оюун,C
320,S321,Энхжаргал,72,Мэдээлэл технологи,C
321,S322,Эрдэнэ,63,Компьютерийн ухаан,D
322,S323,Болд,90,"Санхүү, банк",A
323,S324,Зориг,50,Хиймэл оюун,F
324,S325,Болд,66,Компьютерийн ухаан,D
325,S326,Амгалан,89,Эдийн засаг,B
326,S327,Наран,92,Мэдээллийн систем,A
327,S328,Эрдэнэ,54,Компьютерийн ухаан,F
328,S329,Цолмон,99,Программ хангамж,A
329,S330,Цолмон,88,Сэтгэл судлал,B
330,S331,Гэрэл,75,Мэдээллийн систем,C
331,S332,Цолмон,87,Эдийн засаг,B
332,S333,Халиун,50,Сэтгэл судлал,F
333,S334,Баяр,65,"Санхүү, банк",D
334,S335,Лхагва,56,"Санхүү, банк",F
335,S336,Сарангэрэл,93,Эдийн засаг,A
336,S337,Тамир,91,Мэдээллийн систем,A
337,S338,Тэрбиш,77,Мэдээлэл технологи,C
338,S339,Болор,66,Эдийн засаг,D
339,S340,Сарангэрэл,81,Программ хангамж,B
340,S341,Сарангэрэл,68,Хиймэл оюун,D
341,S342,Мөнх,50,Хиймэл оюун,F
342,S343,Жаргал,97,"Санхүү, банк",A
343,S344,Билгүүн,65,Сэтгэл судлал,D
344,S345,Зориг,57,Программ хангамж,F
345,S346,Жаргал,65,Хиймэл оюун,D
346,S347,Болор,79,Хиймэл оюун,C
347,S348,Билгүүн,78,Мэдээллийн систем,C
348,S349,Хулан,87,Сэтгэл судлал,B
349,S350,Болор,61,Компьютерийн ухаан,D
350,S351,Сүрэн,76,"Санхүү, банк",C
351,S352,Гэрэл,56,Сэтгэл судлал,F
352,S353,Нарантуяа,78,Компьютерийн ухаан,C
353,S354,Гэрэл,93,Мэдээллийн систем,A
354,S355,Баттулга,73,Хиймэл оюун,C
355,S356,Саран,79,"Санхүү, банк",C
356,S357,Цолмон,92,Хиймэл оюун,A
357,S358,Амар,55,Эдийн засаг,F
358,S359,Сарангэрэл,86,Компьютерийн ухаан,B
359,S360,Гэрэл,69,Мэдээлэл технологи,D
360,S361,Сарнай,98,Программ хангамж,A
361,S362,Билгүүн,73,Сэтгэл судлал,C
362,S363,Энхжаргал,92,Мэдээллийн систем,A
363,S364,Алтангэрэл,71,Хиймэл оюун,C
364,S365,Бат,78,Хиймэл оюун,C
365,S366,Лхагва,95,Хиймэл оюун,A
366,S367,Энэбиш,75,Эдийн засаг,C
367,S368,Оюун,61,Мэдээллийн систем,D
368,S369,Туяа,57,Программ хангамж,F
369,S370,Туяа,55,Программ хангамж,F
370,S371,Дорж,87,Программ хангамж,B
371,S372,Одбаяр,96,Сэтгэл судлал,A
372,S373,Алтангэрэл,85,"Санхүү, банк",B
373,S374,Ганзориг,79,"Санхүү, банк",C
374,S375,Ганзориг,88,Мэдээллийн систем,B
375,S376,Лхагва,94,Компьютерийн ухаан,A
376,S377,Зориг,73,Мэдээлэл технологи,C
377,S378,Бат,77,Хиймэл оюун,C
378,S379,Билгүүн,84,Программ хангамж,B
379,S380,Болд,73,Эдийн засаг,C
380,S381,Цэцэг,76,Сэтгэл судлал,C
381,S382,Ану,75,Сэтгэл судлал,C
382,S383,Цолмон,50,Хиймэл оюун,F
383,S384,Чулуун,82,Мэдээлэл технологи,B
384,S385,Хулан,90,Сэтгэл судлал,A
385,S386,Ану,97,"Санхүү, банк",A
386,S387,Баттулга,99,Программ хангамж,A
387,S388,Тэмүүлэн,81,Программ хангамж,B
388,S389,Цолмон,99,Программ хангамж,A
389,S390,Батаа,97,Компьютерийн ухаан,A
390,S391,Ану,69,Программ хангамж,D
391,S392,Чулуун,95,Мэдээлэл технологи,A
392,S393,Амар,90,Программ хангамж,A
393,S394,Одбаяр,87,Мэдээллийн систем,B
394,S395,Болд,64,Хиймэл оюун,D
395,S396,Тэрбиш,50,Эдийн засаг,F
396,S397,Билгүүн,76,Хиймэл оюун,C
397,S398,Нарантуяа,95,Программ хангамж,A
398,S399,Баасан,55,Компьютерийн ухаан,F
399,S400,Баяр,51,Программ хангамж,F
400,S401,Жаргал,52,Компьютерийн ухаан,F
401,S402,Тэмүүжин,74,"Санхүү, банк",C
402,S403,Туяа,53,Мэдээлэл технологи,F
403,S404,Наран,62,Мэдээлэл технологи,D
404,S405,Одбаяр,70,Программ хангамж,C
405,S406,Баяр,95,Эдийн засаг,A
406,S407,Тэмүүлэн,56,Компьютерийн ухаан,F
407,S408,Зориг,69,"Санхүү, банк",D
408,S409,Тэмүүжин,53,Сэтгэл судлал,F
409,S410,Жаргал,78,Мэдээллийн систем,C
410,S411,Амар,83,Хиймэл оюун,B
411,S412,Батаа,98,Эдийн засаг,A
412,S413,Саран,83,Мэдээлэл технологи,B
413,S414,Алтангэрэл,50,Хиймэл оюун,F
414,S415,Энэбиш,75,Сэтгэл судлал,C
415,S416,Мөнх,51,Мэдээллийн систем,F
416,S417,Чулуун,78,Сэтгэл судлал,C
417,S418,Тамир,73,Мэдээллийн систем,C
418,S419,Тэмүүлэн,89,Эдийн засаг,B
419,S420,Энэбиш,51,Хиймэл оюун,F
420,S421,Сарнай,93,Мэдээлэл технологи,A
421,S422,Одбаяр,76,Хиймэл оюун,C
422,S423,Лхагва,87,Сэтгэл судлал,B
423,S424,Баттулга,56,Мэдээлэл технологи,F
424,S425,Тэрбиш,86,Программ хангамж,B
425,S426,Жаргал,89,"Санхүү, банк",B
426,S427,Энхжаргал,80,Мэдээллийн систем,B
427,S428,Саран,82,Мэдээллийн систем,B
428,S429,Туяа,89,Хиймэл оюун,B
429,S430,Хулан,83,Программ хангамж,B
430,S431,Эрдэнэ,54,Хиймэл оюун,F
